"Subject","Predicate","Object"
"UserID: 1","hasGender","Male"
"UserID: 1","livesIn","Pakistan"
"UserID: 1","hasProfession","Engineer"
"UserID: 1","hasDemographics","Rural"
"UserID: 1","watched","VideoID: 4229 (Pranks)"
"VideoID: 4229 (Pranks)","watchReason","Procrastination"
"UserID: 1","watchedSession","UserSession: 1_Instagram_Smartphone"
"UserSession: 1_Instagram_Smartphone","usesPlatform","Instagram"
"UserSession: 1_Instagram_Smartphone","usesDevice","Smartphone (Android)"
"UserSession: 1_Instagram_Smartphone","connectsVia","Mobile Data"
"UserSession: 1_Instagram_Smartphone","performsActivity","Commuting"
"UserID: 2","hasGender","Female"
"UserID: 2","livesIn","Mexico"
"UserID: 2","hasProfession","Artist"
"UserID: 2","hasDemographics","Urban"
"UserID: 2","watched","VideoID: 2131 (Pranks)"
"VideoID: 2131 (Pranks)","watchReason","Habit"
"UserID: 2","watchedSession","UserSession: 2_Instagram_Computer"
"UserSession: 2_Instagram_Computer","usesPlatform","Instagram"
"UserSession: 2_Instagram_Computer","usesDevice","Computer (Android)"
"UserSession: 2_Instagram_Computer","connectsVia","Wi-Fi"
"UserSession: 2_Instagram_Computer","performsActivity","At School"
"UserID: 3","hasGender","Female"
"UserID: 3","livesIn","United States"
"UserID: 3","hasProfession","Engineer"
"UserID: 3","hasDemographics","Rural"
"UserID: 3","watched","VideoID: 4367 (Vlogs)"
"VideoID: 4367 (Vlogs)","watchReason","Entertainment"
"UserID: 3","watchedSession","UserSession: 3_Facebook_Tablet"
"UserSession: 3_Facebook_Tablet","usesPlatform","Facebook"
"UserSession: 3_Facebook_Tablet","usesDevice","Tablet (Android)"
"UserSession: 3_Facebook_Tablet","connectsVia","Mobile Data"
"UserSession: 3_Facebook_Tablet","performsActivity","At Home"
"UserID: 4","hasGender","Male"
"UserID: 4","livesIn","Barzil"
"UserID: 4","hasProfession","Waiting Staff"
"UserID: 4","hasDemographics","Rural"
"UserID: 4","watched","VideoID: 1507 (Vlogs)"
"VideoID: 1507 (Vlogs)","watchReason","Habit"
"UserID: 4","watchedSession","UserSession: 4_Youtube_Smartphone"
"UserSession: 4_Youtube_Smartphone","usesPlatform","Youtube"
"UserSession: 4_Youtube_Smartphone","usesDevice","Smartphone (Android)"
"UserSession: 4_Youtube_Smartphone","connectsVia","Mobile Data"
"UserSession: 4_Youtube_Smartphone","performsActivity","Commuting"
"UserID: 5","hasGender","Male"
"UserID: 5","livesIn","Pakistan"
"UserID: 5","hasProfession","Manager"
"UserID: 5","hasDemographics","Urban"
"UserID: 5","watched","VideoID: 2159 (Gaming)"
"VideoID: 2159 (Gaming)","watchReason","Boredom"
"UserID: 5","watchedSession","UserSession: 5_Tiktok_Smartphone"
"UserSession: 5_Tiktok_Smartphone","usesPlatform","Tiktok"
"UserSession: 5_Tiktok_Smartphone","usesDevice","Smartphone (Ios)"
"UserSession: 5_Tiktok_Smartphone","connectsVia","Mobile Data"
"UserSession: 5_Tiktok_Smartphone","performsActivity","At Home"
"UserID: 6","hasGender","Male"
"UserID: 6","livesIn","Vietnam"
"UserID: 6","hasProfession","Driver"
"UserID: 6","hasDemographics","Urban"
"UserID: 6","watched","VideoID: 2917 (Jokes/Memes)"
"VideoID: 2917 (Jokes/Memes)","watchReason","Entertainment"
"UserID: 6","watchedSession","UserSession: 6_Instagram_Computer"
"UserSession: 6_Instagram_Computer","usesPlatform","Instagram"
"UserSession: 6_Instagram_Computer","usesDevice","Computer (Android)"
"UserSession: 6_Instagram_Computer","connectsVia","Wi-Fi"
"UserSession: 6_Instagram_Computer","performsActivity","At Home"
"UserID: 7","hasGender","Male"
"UserID: 7","livesIn","India"
"UserID: 7","hasProfession","Students"
"UserID: 7","hasDemographics","Rural"
"UserID: 7","watched","VideoID: 3230 (Vlogs)"
"VideoID: 3230 (Vlogs)","watchReason","Habit"
"UserID: 7","watchedSession","UserSession: 7_Tiktok_Smartphone"
"UserSession: 7_Tiktok_Smartphone","usesPlatform","Tiktok"
"UserSession: 7_Tiktok_Smartphone","usesDevice","Smartphone (Android)"
"UserSession: 7_Tiktok_Smartphone","connectsVia","Wi-Fi"
"UserSession: 7_Tiktok_Smartphone","performsActivity","At School"
"UserID: 8","hasGender","Male"
"UserID: 8","livesIn","Barzil"
"UserID: 8","hasProfession","Engineer"
"UserID: 8","hasDemographics","Rural"
"UserID: 8","watched","VideoID: 9859 (Entertainment)"
"VideoID: 9859 (Entertainment)","watchReason","Entertainment"
"UserID: 8","watchedSession","UserSession: 8_Instagram_Tablet"
"UserSession: 8_Instagram_Tablet","usesPlatform","Instagram"
"UserSession: 8_Instagram_Tablet","usesDevice","Tablet (Android)"
"UserSession: 8_Instagram_Tablet","connectsVia","Mobile Data"
"UserSession: 8_Instagram_Tablet","performsActivity","At Home"
"UserID: 9","hasGender","Male"
"UserID: 9","livesIn","United States"
"UserID: 9","hasProfession","Waiting Staff"
"UserID: 9","hasDemographics","Rural"
"UserID: 9","watched","VideoID: 6266 (Vlogs)"
"VideoID: 6266 (Vlogs)","watchReason","Entertainment"
"UserID: 9","watchedSession","UserSession: 9_Instagram_Computer"
"UserSession: 9_Instagram_Computer","usesPlatform","Instagram"
"UserSession: 9_Instagram_Computer","usesDevice","Computer (Android)"
"UserSession: 9_Instagram_Computer","connectsVia","Mobile Data"
"UserSession: 9_Instagram_Computer","performsActivity","At Home"
"UserID: 10","hasGender","Other"
"UserID: 10","livesIn","United States"
"UserID: 10","hasProfession","Students"
"UserID: 10","hasDemographics","Rural"
"UserID: 10","watched","VideoID: 4137 (Asmr)"
"VideoID: 4137 (Asmr)","watchReason","Boredom"
"UserID: 10","watchedSession","UserSession: 10_Youtube_Smartphone"
"UserSession: 10_Youtube_Smartphone","usesPlatform","Youtube"
"UserSession: 10_Youtube_Smartphone","usesDevice","Smartphone (Ios)"
"UserSession: 10_Youtube_Smartphone","connectsVia","Mobile Data"
"UserSession: 10_Youtube_Smartphone","performsActivity","At Home"
"UserID: 11","hasGender","Male"
"UserID: 11","livesIn","Indonesia"
"UserID: 11","hasProfession","Manager"
"UserID: 11","hasDemographics","Rural"
"UserID: 11","watched","VideoID: 2690 (Pranks)"
"VideoID: 2690 (Pranks)","watchReason","Boredom"
"UserID: 11","watchedSession","UserSession: 11_Instagram_Smartphone"
"UserSession: 11_Instagram_Smartphone","usesPlatform","Instagram"
"UserSession: 11_Instagram_Smartphone","usesDevice","Smartphone (Android)"
"UserSession: 11_Instagram_Smartphone","connectsVia","Mobile Data"
"UserSession: 11_Instagram_Smartphone","performsActivity","At Home"
"UserID: 12","hasGender","Other"
"UserID: 12","livesIn","Philippines"
"UserID: 12","hasProfession","Labor/Worker"
"UserID: 12","hasDemographics","Urban"
"UserID: 12","watched","VideoID: 7191 (Life Hacks)"
"VideoID: 7191 (Life Hacks)","watchReason","Habit"
"UserID: 12","watchedSession","UserSession: 12_Tiktok_Tablet"
"UserSession: 12_Tiktok_Tablet","usesPlatform","Tiktok"
"UserSession: 12_Tiktok_Tablet","usesDevice","Tablet (Android)"
"UserSession: 12_Tiktok_Tablet","connectsVia","Wi-Fi"
"UserSession: 12_Tiktok_Tablet","performsActivity","At Home"
"UserID: 13","hasGender","Male"
"UserID: 13","livesIn","Japan"
"UserID: 13","hasProfession","Waiting Staff"
"UserID: 13","hasDemographics","Rural"
"UserID: 13","watched","VideoID: 2811 (Gaming)"
"VideoID: 2811 (Gaming)","watchReason","Habit"
"UserID: 13","watchedSession","UserSession: 13_Instagram_Smartphone"
"UserSession: 13_Instagram_Smartphone","usesPlatform","Instagram"
"UserSession: 13_Instagram_Smartphone","usesDevice","Smartphone (Android)"
"UserSession: 13_Instagram_Smartphone","connectsVia","Mobile Data"
"UserSession: 13_Instagram_Smartphone","performsActivity","At School"
"UserID: 14","hasGender","Male"
"UserID: 14","livesIn","Indonesia"
"UserID: 14","hasProfession","Waiting Staff"
"UserID: 14","hasDemographics","Rural"
"UserID: 14","watched","VideoID: 6153 (Vlogs)"
"VideoID: 6153 (Vlogs)","watchReason","Entertainment"
"UserID: 14","watchedSession","UserSession: 14_Facebook_Tablet"
"UserSession: 14_Facebook_Tablet","usesPlatform","Facebook"
"UserSession: 14_Facebook_Tablet","usesDevice","Tablet (Android)"
"UserSession: 14_Facebook_Tablet","connectsVia","Wi-Fi"
"UserSession: 14_Facebook_Tablet","performsActivity","Commuting"
"UserID: 15","hasGender","Other"
"UserID: 15","livesIn","Vietnam"
"UserID: 15","hasProfession","Cashier"
"UserID: 15","hasDemographics","Rural"
"UserID: 15","watched","VideoID: 13 (Gaming)"
"VideoID: 13 (Gaming)","watchReason","Boredom"
"UserID: 15","watchedSession","UserSession: 15_Youtube_Tablet"
"UserSession: 15_Youtube_Tablet","usesPlatform","Youtube"
"UserSession: 15_Youtube_Tablet","usesDevice","Tablet (Ios)"
"UserSession: 15_Youtube_Tablet","connectsVia","Wi-Fi"
"UserSession: 15_Youtube_Tablet","performsActivity","At School"
"UserID: 16","hasGender","Female"
"UserID: 16","livesIn","Philippines"
"UserID: 16","hasProfession","Students"
"UserID: 16","hasDemographics","Rural"
"UserID: 16","watched","VideoID: 5939 (Entertainment)"
"VideoID: 5939 (Entertainment)","watchReason","Entertainment"
"UserID: 16","watchedSession","UserSession: 16_Youtube_Smartphone"
"UserSession: 16_Youtube_Smartphone","usesPlatform","Youtube"
"UserSession: 16_Youtube_Smartphone","usesDevice","Smartphone (Macos)"
"UserSession: 16_Youtube_Smartphone","connectsVia","Mobile Data"
"UserSession: 16_Youtube_Smartphone","performsActivity","At School"
"UserID: 17","hasGender","Female"
"UserID: 17","livesIn","Mexico"
"UserID: 17","hasProfession","Waiting Staff"
"UserID: 17","hasDemographics","Rural"
"UserID: 17","watched","VideoID: 8000 (Asmr)"
"VideoID: 8000 (Asmr)","watchReason","Habit"
"UserID: 17","watchedSession","UserSession: 17_Facebook_Smartphone"
"UserSession: 17_Facebook_Smartphone","usesPlatform","Facebook"
"UserSession: 17_Facebook_Smartphone","usesDevice","Smartphone (Ios)"
"UserSession: 17_Facebook_Smartphone","connectsVia","Wi-Fi"
"UserSession: 17_Facebook_Smartphone","performsActivity","At Home"
"UserID: 18","hasGender","Female"
"UserID: 18","livesIn","Barzil"
"UserID: 18","hasProfession","Students"
"UserID: 18","hasDemographics","Rural"
"UserID: 18","watched","VideoID: 7220 (Asmr)"
"VideoID: 7220 (Asmr)","watchReason","Habit"
"UserID: 18","watchedSession","UserSession: 18_Facebook_Smartphone"
"UserSession: 18_Facebook_Smartphone","usesPlatform","Facebook"
"UserSession: 18_Facebook_Smartphone","usesDevice","Smartphone (Windows)"
"UserSession: 18_Facebook_Smartphone","connectsVia","Mobile Data"
"UserSession: 18_Facebook_Smartphone","performsActivity","At Home"
"UserID: 19","hasGender","Other"
"UserID: 19","livesIn","Japan"
"UserID: 19","hasProfession","Labor/Worker"
"UserID: 19","hasDemographics","Rural"
"UserID: 19","watched","VideoID: 5329 (Pranks)"
"VideoID: 5329 (Pranks)","watchReason","Entertainment"
"UserID: 19","watchedSession","UserSession: 19_Facebook_Smartphone"
"UserSession: 19_Facebook_Smartphone","usesPlatform","Facebook"
"UserSession: 19_Facebook_Smartphone","usesDevice","Smartphone (Ios)"
"UserSession: 19_Facebook_Smartphone","connectsVia","Mobile Data"
"UserSession: 19_Facebook_Smartphone","performsActivity","At Work"
"UserID: 20","hasGender","Male"
"UserID: 20","livesIn","United States"
"UserID: 20","hasProfession","Labor/Worker"
"UserID: 20","hasDemographics","Urban"
"UserID: 20","watched","VideoID: 3622 (Vlogs)"
"VideoID: 3622 (Vlogs)","watchReason","Habit"
"UserID: 20","watchedSession","UserSession: 20_Instagram_Smartphone"
"UserSession: 20_Instagram_Smartphone","usesPlatform","Instagram"
"UserSession: 20_Instagram_Smartphone","usesDevice","Smartphone (Macos)"
"UserSession: 20_Instagram_Smartphone","connectsVia","Mobile Data"
"UserSession: 20_Instagram_Smartphone","performsActivity","At Work"
"UserID: 21","hasGender","Male"
"UserID: 21","livesIn","India"
"UserID: 21","hasProfession","Waiting Staff"
"UserID: 21","hasDemographics","Rural"
"UserID: 21","watched","VideoID: 3684 (Vlogs)"
"VideoID: 3684 (Vlogs)","watchReason","Habit"
"UserID: 21","watchedSession","UserSession: 21_Youtube_Tablet"
"UserSession: 21_Youtube_Tablet","usesPlatform","Youtube"
"UserSession: 21_Youtube_Tablet","usesDevice","Tablet (Ios)"
"UserSession: 21_Youtube_Tablet","connectsVia","Mobile Data"
"UserSession: 21_Youtube_Tablet","performsActivity","Commuting"
"UserID: 22","hasGender","Male"
"UserID: 22","livesIn","Barzil"
"UserID: 22","hasProfession","Driver"
"UserID: 22","hasDemographics","Rural"
"UserID: 22","watched","VideoID: 7873 (Entertainment)"
"VideoID: 7873 (Entertainment)","watchReason","Boredom"
"UserID: 22","watchedSession","UserSession: 22_Facebook_Computer"
"UserSession: 22_Facebook_Computer","usesPlatform","Facebook"
"UserSession: 22_Facebook_Computer","usesDevice","Computer (Android)"
"UserSession: 22_Facebook_Computer","connectsVia","Mobile Data"
"UserSession: 22_Facebook_Computer","performsActivity","Commuting"
"UserID: 23","hasGender","Female"
"UserID: 23","livesIn","Indonesia"
"UserID: 23","hasProfession","Students"
"UserID: 23","hasDemographics","Rural"
"UserID: 23","watched","VideoID: 5311 (Entertainment)"
"VideoID: 5311 (Entertainment)","watchReason","Boredom"
"UserID: 23","watchedSession","UserSession: 23_Instagram_Smartphone"
"UserSession: 23_Instagram_Smartphone","usesPlatform","Instagram"
"UserSession: 23_Instagram_Smartphone","usesDevice","Smartphone (Android)"
"UserSession: 23_Instagram_Smartphone","connectsVia","Mobile Data"
"UserSession: 23_Instagram_Smartphone","performsActivity","At Work"
"UserID: 24","hasGender","Female"
"UserID: 24","livesIn","India"
"UserID: 24","hasProfession","Waiting Staff"
"UserID: 24","hasDemographics","Urban"
"UserID: 24","watched","VideoID: 653 (Pranks)"
"VideoID: 653 (Pranks)","watchReason","Habit"
"UserID: 24","watchedSession","UserSession: 24_Facebook_Smartphone"
"UserSession: 24_Facebook_Smartphone","usesPlatform","Facebook"
"UserSession: 24_Facebook_Smartphone","usesDevice","Smartphone (Ios)"
"UserSession: 24_Facebook_Smartphone","connectsVia","Mobile Data"
"UserSession: 24_Facebook_Smartphone","performsActivity","At Home"
"UserID: 25","hasGender","Male"
"UserID: 25","livesIn","Germany"
"UserID: 25","hasProfession","Waiting Staff"
"UserID: 25","hasDemographics","Rural"
"UserID: 25","watched","VideoID: 5800 (Jokes/Memes)"
"VideoID: 5800 (Jokes/Memes)","watchReason","Boredom"
"UserID: 25","watchedSession","UserSession: 25_Tiktok_Smartphone"
"UserSession: 25_Tiktok_Smartphone","usesPlatform","Tiktok"
"UserSession: 25_Tiktok_Smartphone","usesDevice","Smartphone (Android)"
"UserSession: 25_Tiktok_Smartphone","connectsVia","Mobile Data"
"UserSession: 25_Tiktok_Smartphone","performsActivity","At Home"
"UserID: 26","hasGender","Male"
"UserID: 26","livesIn","Japan"
"UserID: 26","hasProfession","Labor/Worker"
"UserID: 26","hasDemographics","Urban"
"UserID: 26","watched","VideoID: 8813 (Jokes/Memes)"
"VideoID: 8813 (Jokes/Memes)","watchReason","Entertainment"
"UserID: 26","watchedSession","UserSession: 26_Tiktok_Smartphone"
"UserSession: 26_Tiktok_Smartphone","usesPlatform","Tiktok"
"UserSession: 26_Tiktok_Smartphone","usesDevice","Smartphone (Android)"
"UserSession: 26_Tiktok_Smartphone","connectsVia","Wi-Fi"
"UserSession: 26_Tiktok_Smartphone","performsActivity","At School"
"UserID: 27","hasGender","Male"
"UserID: 27","livesIn","Japan"
"UserID: 27","hasProfession","Students"
"UserID: 27","hasDemographics","Rural"
"UserID: 27","watched","VideoID: 3791 (Gaming)"
"VideoID: 3791 (Gaming)","watchReason","Habit"
"UserID: 27","watchedSession","UserSession: 27_Youtube_Smartphone"
"UserSession: 27_Youtube_Smartphone","usesPlatform","Youtube"
"UserSession: 27_Youtube_Smartphone","usesDevice","Smartphone (Android)"
"UserSession: 27_Youtube_Smartphone","connectsVia","Mobile Data"
"UserSession: 27_Youtube_Smartphone","performsActivity","Commuting"
"UserID: 28","hasGender","Other"
"UserID: 28","livesIn","Vietnam"
"UserID: 28","hasProfession","Manager"
"UserID: 28","hasDemographics","Urban"
"UserID: 28","watched","VideoID: 1646 (Life Hacks)"
"VideoID: 1646 (Life Hacks)","watchReason","Habit"
"UserID: 28","watchedSession","UserSession: 28_Instagram_Smartphone"
"UserSession: 28_Instagram_Smartphone","usesPlatform","Instagram"
"UserSession: 28_Instagram_Smartphone","usesDevice","Smartphone (Ios)"
"UserSession: 28_Instagram_Smartphone","connectsVia","Wi-Fi"
"UserSession: 28_Instagram_Smartphone","performsActivity","At Home"
"UserID: 29","hasGender","Female"
"UserID: 29","livesIn","India"
"UserID: 29","hasProfession","Labor/Worker"
"UserID: 29","hasDemographics","Rural"
"UserID: 29","watched","VideoID: 4513 (Entertainment)"
"VideoID: 4513 (Entertainment)","watchReason","Boredom"
"UserID: 29","watchedSession","UserSession: 29_Tiktok_Smartphone"
"UserSession: 29_Tiktok_Smartphone","usesPlatform","Tiktok"
"UserSession: 29_Tiktok_Smartphone","usesDevice","Smartphone (Macos)"
"UserSession: 29_Tiktok_Smartphone","connectsVia","Mobile Data"
"UserSession: 29_Tiktok_Smartphone","performsActivity","At Work"
"UserID: 30","hasGender","Male"
"UserID: 30","livesIn","India"
"UserID: 30","hasProfession","Driver"
"UserID: 30","hasDemographics","Urban"
"UserID: 30","watched","VideoID: 4760 (Pranks)"
"VideoID: 4760 (Pranks)","watchReason","Entertainment"
