Subject,Predicate,Object
User:1,hasGender,Gender:Male
User:2,hasGender,Gender:Female
User:3,hasGender,Gender:Female
User:4,hasGender,Gender:Male
User:5,hasGender,Gender:Male
User:6,hasGender,Gender:Male
User:7,hasGender,Gender:Male
User:8,hasGender,Gender:Male
User:9,hasGender,Gender:Male
User:10,hasGender,Gender:Other
User:11,hasGender,Gender:Male
User:12,hasGender,Gender:Other
User:13,hasGender,Gender:Male
User:14,hasGender,Gender:Male
User:15,hasGender,Gender:Other
User:16,hasGender,Gender:Female
User:17,hasGender,Gender:Female
User:18,hasGender,Gender:Female
User:19,hasGender,Gender:Other
User:20,hasGender,Gender:Male
User:21,hasGender,Gender:Male
User:22,hasGender,Gender:Male
User:23,hasGender,Gender:Female
User:24,hasGender,Gender:Female
User:25,hasGender,Gender:Male
User:26,hasGender,Gender:Male
User:27,hasGender,Gender:Male
User:28,hasGender,Gender:Other
User:29,hasGender,Gender:Female
User:30,hasGender,Gender:Male
User:31,hasGender,Gender:Male
User:32,hasGender,Gender:Male
User:33,hasGender,Gender:Male
User:34,hasGender,Gender:Other
User:35,hasGender,Gender:Female
User:36,hasGender,Gender:Other
User:37,hasGender,Gender:Male
User:38,hasGender,Gender:Male
User:39,hasGender,Gender:Male
User:40,hasGender,Gender:Male
User:41,hasGender,Gender:Male
User:42,hasGender,Gender:Male
User:43,hasGender,Gender:Other
User:44,hasGender,Gender:Female
User:45,hasGender,Gender:Other
User:46,hasGender,Gender:Female
User:47,hasGender,Gender:Male
User:48,hasGender,Gender:Male
User:49,hasGender,Gender:Female
User:50,hasGender,Gender:Male
User:51,hasGender,Gender:Female
User:52,hasGender,Gender:Other
User:53,hasGender,Gender:Male
User:54,hasGender,Gender:Male
User:55,hasGender,Gender:Other
User:56,hasGender,Gender:Male
User:57,hasGender,Gender:Male
User:58,hasGender,Gender:Male
User:59,hasGender,Gender:Male
User:60,hasGender,Gender:Male
User:61,hasGender,Gender:Female
User:62,hasGender,Gender:Other
User:63,hasGender,Gender:Male
User:64,hasGender,Gender:Male
User:65,hasGender,Gender:Male
User:66,hasGender,Gender:Other
User:67,hasGender,Gender:Other
User:68,hasGender,Gender:Male
User:69,hasGender,Gender:Male
User:70,hasGender,Gender:Female
User:71,hasGender,Gender:Female
User:72,hasGender,Gender:Male
User:73,hasGender,Gender:Male
User:74,hasGender,Gender:Female
User:75,hasGender,Gender:Other
User:76,hasGender,Gender:Male
User:77,hasGender,Gender:Female
User:78,hasGender,Gender:Male
User:79,hasGender,Gender:Other
User:80,hasGender,Gender:Male
User:81,hasGender,Gender:Male
User:82,hasGender,Gender:Male
User:83,hasGender,Gender:Male
User:84,hasGender,Gender:Male
User:85,hasGender,Gender:Male
User:86,hasGender,Gender:Other
User:87,hasGender,Gender:Female
User:88,hasGender,Gender:Other
User:89,hasGender,Gender:Female
User:90,hasGender,Gender:Female
User:91,hasGender,Gender:Male
User:92,hasGender,Gender:Male
User:93,hasGender,Gender:Female
User:94,hasGender,Gender:Male
User:95,hasGender,Gender:Other
User:96,hasGender,Gender:Other
User:97,hasGender,Gender:Male
User:98,hasGender,Gender:Female
User:99,hasGender,Gender:Male
User:100,hasGender,Gender:Female
User:101,hasGender,Gender:Male
User:102,hasGender,Gender:Male
User:103,hasGender,Gender:Male
User:104,hasGender,Gender:Female
User:105,hasGender,Gender:Female
User:106,hasGender,Gender:Male
User:107,hasGender,Gender:Female
User:108,hasGender,Gender:Male
User:109,hasGender,Gender:Male
User:110,hasGender,Gender:Male
User:111,hasGender,Gender:Female
User:112,hasGender,Gender:Female
User:113,hasGender,Gender:Female
User:114,hasGender,Gender:Male
User:115,hasGender,Gender:Male
User:116,hasGender,Gender:Male
User:117,hasGender,Gender:Female
User:118,hasGender,Gender:Male
User:119,hasGender,Gender:Other
User:120,hasGender,Gender:Female
User:121,hasGender,Gender:Other
User:122,hasGender,Gender:Other
User:123,hasGender,Gender:Female
User:124,hasGender,Gender:Other
User:125,hasGender,Gender:Male
User:126,hasGender,Gender:Female
User:127,hasGender,Gender:Female
User:128,hasGender,Gender:Male
User:129,hasGender,Gender:Other
User:130,hasGender,Gender:Female
User:131,hasGender,Gender:Male
User:132,hasGender,Gender:Male
User:133,hasGender,Gender:Female
User:134,hasGender,Gender:Male
User:135,hasGender,Gender:Female
User:136,hasGender,Gender:Female
User:137,hasGender,Gender:Female
User:138,hasGender,Gender:Female
User:139,hasGender,Gender:Male
User:140,hasGender,Gender:Male
User:141,hasGender,Gender:Female
User:142,hasGender,Gender:Male
User:143,hasGender,Gender:Female
User:144,hasGender,Gender:Female
User:145,hasGender,Gender:Male
User:146,hasGender,Gender:Other
